	median_Reporter intensity 1	median_Reporter intensity 2	median_Reporter intensity 3	median_Reporter intensity 4	median_Reporter intensity 5	median_Reporter intensity 6	median_Reporter intensity 7	median_Reporter intensity 8	median_Reporter intensity 9
Tb927.10.9150	0.114098443	0.122113202	0.115924331	0.1100444	0.108822209	0.105078841	0.101015296	0.104382805	0.113101259
Tb927.10.9160	0.092965008	0.104119759	0.105622569	0.115182941	0.112169461	0.115980325	0.118571517	0.115315993	0.125470501
Tb927.10.9190	0.109027138	0.110554471	0.110765708	0.11108307	0.110247316	0.111690746	0.112986023	0.110763509	0.112621858
Tb927.10.920	0.105153799	0.110180202	0.109396443	0.111643584	0.110262112	0.114050214	0.113108118	0.11260204	0.112394502
Tb927.10.9200	0.107953784	0.113788938	0.111279652	0.10950672	0.110304282	0.111687133	0.110803782	0.109419277	0.111951539
Tb927.10.9230	0.091954667	0.099827831	0.104981531	0.106938536	0.115945841	0.117519725	0.122164606	0.118537157	0.126716856
Tb927.10.9240	0.109074832	0.12310708	0.12001799	0.118329907	0.11300924	0.110746853	0.100383517	0.106401565	0.097456417
Tb927.10.9250	0.112348544	0.114864676	0.112828993	0.111906738	0.108296716	0.111653193	0.11100806	0.109701681	0.107041549
Tb927.10.9260	0.124528712	0.108581114	0.111131656	0.110835175	0.109945685	0.11154638	0.108281347	0.109357036	0.105156658
Tb927.10.9280;Tb11.v5.0485	0.111163442	0.115442431	0.111894914	0.11312573	0.112260081	0.108215518	0.107524767	0.108134831	0.109703885
Tb927.10.930	0.090635904	0.116385064	0.106974601	0.115137125	0.108547812	0.117777901	0.119262042	0.113587537	0.113940422
Tb927.10.9330	0.112843497	0.113958351	0.109674907	0.111556096	0.108550243	0.110293165	0.110666768	0.113844583	0.115918361
Tb927.10.9350	0.110387947	0.112212784	0.111555915	0.111212209	0.109270261	0.108829998	0.109513524	0.112281566	0.115968621
Tb927.10.9360	0.131526495	0.108182042	0.109334006	0.108093462	0.109994861	0.104388612	0.107697622	0.101955264	0.114522616
Tb927.10.940	0.117803439	0.102835269	0.12340652	0.100096852	0.123674966	0.101248474	0.120861422	0.087314133	0.122758926
Tb927.10.9400	0.110850267	0.119058251	0.112975146	0.111491957	0.108901594	0.111732406	0.109171154	0.112088157	0.106247864
Tb927.10.9410	0.111885049	0.116452092	0.117984306	0.111378364	0.108247725	0.104563538	0.105197027	0.108518102	0.11108711
Tb927.10.9430	0.111606236	0.111666604	0.113927679	0.113114106	0.115063919	0.111114527	0.106442398	0.105942391	0.106560681
Tb927.10.9440	0.112930933	0.113175764	0.11176075	0.111771154	0.109901118	0.108709946	0.109440671	0.111337404	0.113226205
Tb927.10.9560	0.108254921	0.106040241	0.104704228	0.110856782	0.109247843	0.114872512	0.113198885	0.117741881	0.117632684
Tb927.10.9570;Tb11.v5.0579	0.115577373	0.111228613	0.107355566	0.106752591	0.106610767	0.111035667	0.11386297	0.113204239	0.114064818
Tb927.10.960;Tb11.v5.0631	0.112199541	0.111806196	0.11089085	0.111207067	0.109119275	0.11240641	0.114372085	0.109413947	0.110229374
Tb927.10.9640	0.127651914	0.100485075	0.10757102	0.110563112	0.112740101	0.110744845	0.113801564	0.107806217	0.110951787
Tb927.10.9650;Tb11.v5.0399	0.119694538	0.114862929	0.112214677	0.110979984	0.112152297	0.108158866	0.107375376	0.109065394	0.107594663
Tb927.10.9660	0.105842717	0.115294424	0.107450457	0.115008619	0.112881363	0.108041251	0.112989233	0.109620818	0.106453663
Tb927.10.9670	0.122994237	0.116018383	0.11649819	0.112525079	0.114430757	0.099331065	0.10699117	0.115377747	0.104864808
Tb927.10.9680	0.101335953	0.110867219	0.106962273	0.112592092	0.108900729	0.115014248	0.118991146	0.114388257	0.117448898
Tb927.10.970	0.099112056	0.110815054	0.106569612	0.111199791	0.1134542	0.117368087	0.112009754	0.114559322	0.111386495
Tb927.10.9700;Tb11.v5.0773	0.107805883	0.102338344	0.100788119	0.108706774	0.113082885	0.117126465	0.120172289	0.115959852	0.117750685
Tb927.10.9720	0.113936354	0.108181418	0.110402475	0.112050997	0.112127643	0.111611644	0.109893639	0.106851717	0.114944117
Tb927.10.9740	0.113891152	0.109757848	0.110351991	0.110745609	0.110448276	0.110441229	0.109681658	0.112272069	0.111040761
Tb927.10.9760	0.114101375	0.111284191	0.114147007	0.110102453	0.110419024	0.111703501	0.10597168	0.11258812	0.106869006
Tb927.10.9770;Tb11.v5.0848	0.114895829	0.114483246	0.11489379	0.112073118	0.111070664	0.107300096	0.106751878	0.107450667	0.10675794
Tb927.10.9780	0.110665925	0.108542533	0.111506308	0.112576593	0.111596178	0.112421327	0.111189574	0.110960096	0.112238266
Tb927.10.9800	0.129243197	0.111671733	0.115645378	0.115303848	0.110602558	0.108697151	0.098974876	0.106945845	0.09954233
Tb927.10.9810	0.107762718	0.110252418	0.108097699	0.11194185	0.107591322	0.113607024	0.113442699	0.114362779	0.112799013
Tb927.10.9820	0.10779387	0.111523491	0.107956976	0.11069928	0.111538581	0.109083509	0.115901427	0.110256576	0.113165014
Tb927.10.9830	0.110379661	0.110356424	0.109439123	0.10865107	0.108579403	0.113080748	0.1116136	0.110866371	0.11649752
Tb927.10.9840	0.101618032	0.108821924	0.117747607	0.119112962	0.114094558	0.113103393	0.109224041	0.108166319	0.107521421
Tb927.10.9860	0.112848722	0.100820093	0.109674858	0.109030588	0.108955002	0.110502486	0.117794952	0.117701832	0.112671467
